date,C__sierra_leone,E__sierra_leone,I__sierra_leone,R__sierra_leone,cases__sierra_leone,S__sierra_leone,cases_obs__sierra_leone,ran_cases_obs__sierra_leone,index
2014-07-13,104.686,225.585,142.611,150.488,154.543,6.34783e+06,86.8199,121.917,0
2014-07-20,117.93,253.429,155.632,310.495,173.028,6.34761e+06,97.2042,126.478,0
2014-07-27,132.09,283.169,173.177,487.27,194.32,6.34737e+06,109.166,58.8107,0
2014-08-03,147.625,316.291,193.368,684.427,217.349,6.34711e+06,122.103,51.3296,0
2014-08-10,164.914,353.296,216.003,904.633,242.841,6.34681e+06,136.424,164.869,0
2014-08-17,184.212,394.631,241.287,1150.62,271.266,6.34648e+06,152.393,121.462,0
2014-08-24,205.763,440.792,269.521,1425.39,303.006,6.34611e+06,170.224,131.076,0
2014-08-31,229.829,492.339,301.052,1732.31,338.45,6.34569e+06,190.136,145.094,0
2014-09-07,256.702,549.895,336.261,2075.13,378.029,6.34523e+06,212.371,245.365,0
2014-09-14,286.707,614.158,375.576,2458.03,422.223,6.34472e+06,237.198,195.869,0
2014-09-21,320.208,685.902,419.473,2885.7,471.567,6.34414e+06,264.919,240.825,0
2014-09-28,357.607,765.992,468.483,3363.35,526.656,6.34349e+06,295.867,326.559,0
2014-07-13,116.044,249.633,158.308,167.136,171.526,6.34776e+06,95.7114,122.903,50
2014-07-20,130.361,279.688,172.394,344.573,191.525,6.34752e+06,106.87,125.554,50
2014-07-27,145.626,311.698,191.341,540.137,214.511,6.34726e+06,119.696,123.16,50
2014-08-03,162.329,347.25,213.096,757.686,239.304,6.34697e+06,133.531,116.792,50
2014-08-10,180.867,386.867,237.42,1000.04,266.674,6.34664e+06,148.803,175.679,50
2014-08-17,201.506,431.003,264.52,1270.05,297.113,6.34628e+06,165.789,212.05,50
2014-08-24,224.493,480.162,294.703,1570.88,331.012,6.34588e+06,184.704,219.382,50
2014-08-31,250.095,534.912,328.321,1906.03,368.767,6.34543e+06,205.771,184.771,50
2014-09-07,278.608,595.884,365.762,2279.4,410.816,6.34493e+06,229.235,266.571,50
2014-09-14,310.36,663.779,407.459,2695.35,457.644,6.34437e+06,255.364,303.818,50
2014-09-21,345.716,739.377,453.892,3158.7,509.789,6.34375e+06,284.461,241.084,50
2014-09-28,385.083,823.545,505.595,3674.85,567.851,6.34306e+06,316.86,254.439,50
2014-07-13,113.505,243.332,155.283,164.108,168.198,6.34777e+06,88.8921,88.1089,100
2014-07-20,126.795,271.154,168.381,337.803,186.794,6.34755e+06,98.7201,111.548,100
2014-07-27,140.892,300.614,185.937,528.324,208.077,6.34729e+06,109.968,95.9582,100
2014-08-03,156.233,333.16,206.001,739.169,230.908,6.34702e+06,122.035,143.133,100
2014-08-10,173.169,369.238,228.32,972.827,255.978,6.34671e+06,135.284,154.663,100
2014-08-17,191.925,409.222,253.057,1231.8,283.712,6.34636e+06,149.941,151.351,100
2014-08-24,212.707,453.526,280.465,1518.83,314.437,6.34598e+06,166.179,190.041,100
2014-08-31,235.732,502.612,310.833,1836.94,348.48,6.34556e+06,184.171,181.307,100
2014-09-07,261.242,556.992,344.479,2189.49,386.197,6.3451e+06,204.104,238.61,100
2014-09-14,289.503,617.233,381.755,2580.2,427.983,6.34458e+06,226.188,258.512,100
2014-09-21,320.809,683.963,423.05,3013.18,474.273,6.34401e+06,250.652,256.047,100
2014-09-28,355.486,757.872,468.794,3492.98,525.548,6.34337e+06,277.751,209.059,100
2014-07-13,82.4009,183.037,109.418,114.391,118.903,6.34796e+06,70.6384,50.2202,150
2014-07-20,97.5932,215.782,124.13,239.454,139.775,6.34777e+06,83.0384,94.5182,150
2014-07-27,114.617,252.62,144.597,383.76,164.773,6.34755e+06,97.8889,88.3424,150
2014-08-03,134.229,295.65,169.168,552.351,193.163,6.3473e+06,114.755,118.791,150
2014-08-10,157.117,346.026,198.005,749.652,226.139,6.347e+06,134.346,98.4913,150
2014-08-17,183.893,404.987,231.756,980.586,264.685,6.34665e+06,157.245,81.7273,150
2014-08-24,215.225,473.981,271.25,1250.88,309.787,6.34624e+06,184.04,176.506,150
2014-08-31,251.887,554.71,317.464,1567.23,362.563,6.34576e+06,215.393,286.363,150
2014-09-07,294.784,649.163,371.54,1937.47,424.316,6.3452e+06,252.08,286.322,150
2014-09-14,344.97,759.661,434.809,2370.76,496.566,6.34454e+06,295.002,507.052,150
2014-09-21,403.68,888.916,508.829,2877.84,581.091,6.34377e+06,345.217,341.505,150
2014-09-28,472.353,1040.1,595.417,3471.21,679.965,6.34287e+06,403.957,519.415,150
2014-07-13,74.7411,165.254,99.6415,104.323,108.232,6.34801e+06,71.2626,72.7585,200
2014-07-20,87.8409,193.381,112.357,217.881,126.274,6.34784e+06,83.1417,68.6066,200
2014-07-27,102.413,224.773,129.959,348.031,147.751,6.34764e+06,97.2825,88.5088,200
2014-08-03,119.077,261.174,150.952,498.997,171.96,6.34742e+06,113.222,116.034,200
2014-08-10,138.382,303.484,175.417,674.404,199.872,6.34716e+06,131.6,60.7924,200
2014-08-17,160.803,352.651,203.845,878.24,232.264,6.34685e+06,152.928,138.632,200
2014-08-24,186.853,409.774,236.873,1115.11,269.893,6.3465e+06,177.704,223.696,200
2014-08-31,217.117,476.135,275.245,1390.34,313.612,6.34609e+06,206.489,196.423,200
2014-09-07,252.275,553.225,319.823,1710.17,364.401,6.34561e+06,239.93,296.549,200
2014-09-14,293.115,642.769,371.61,2081.78,423.4,6.34506e+06,278.776,217.558,200
2014-09-21,340.552,746.772,431.764,2513.56,491.932,6.34442e+06,323.899,379.096,200
2014-09-28,395.646,867.555,501.634,3015.22,571.53,6.34367e+06,376.309,449.482,200
2014-07-13,97.3504,208.944,133.053,140.567,144.134,6.34787e+06,101.112,113.24,250
2014-07-20,108.957,233.266,144.486,289.5,160.365,6.34767e+06,112.499,77.4943,250
2014-07-27,121.29,259.07,159.828,453.127,178.969,6.34746e+06,125.549,140.189,250
2014-08-03,134.737,287.632,177.39,634.529,198.964,6.34722e+06,139.576,129.422,250
2014-08-10,149.61,319.35,196.96,835.918,220.96,6.34695e+06,155.007,134.808,250
2014-08-17,166.112,354.566,218.69,1059.53,245.338,6.34665e+06,172.108,156.906,250
2014-08-24,184.429,393.659,242.811,1307.8,272.395,6.34632e+06,191.089,264.431,250
2014-08-31,204.761,437.051,269.585,1583.46,302.429,6.34596e+06,212.158,202.755,250
2014-09-07,227.329,485.212,299.304,1889.5,335.765,6.34555e+06,235.544,128.388,250
2014-09-14,252.376,538.663,332.289,2229.28,372.766,6.3451e+06,261.501,305.779,250
2014-09-21,280.174,597.981,368.899,2606.5,413.831,6.3446e+06,290.308,313.346,250
2014-09-28,311.022,663.805,409.529,3025.28,459.403,6.34404e+06,322.278,275.624,250
2014-07-13,88.5981,190.809,120.752,127.442,130.848,6.34792e+06,96.3351,106.94,300
2014-07-20,99.7143,214.168,131.683,262.877,146.367,6.34774e+06,107.761,94.595,300
2014-07-27,111.589,239.096,146.405,412.387,164.23,6.34754e+06,120.913,165.142,300
2014-08-03,124.606,266.833,163.334,578.991,183.534,6.34732e+06,135.125,122.982,300
2014-08-10,139.079,297.798,182.297,764.913,204.884,6.34707e+06,150.843,120.928,300
2014-08-17,155.222,332.357,203.461,972.421,228.672,6.34679e+06,168.357,198.223,300
2014-08-24,173.234,370.92,227.076,1204.02,255.21,6.34647e+06,187.895,192.105,300
2014-08-31,193.333,413.947,253.426,1462.49,284.822,6.34613e+06,209.697,177.466,300
2014-09-07,215.757,461.953,282.826,1750.95,317.863,6.34574e+06,234.022,257.679,300
2014-09-14,240.776,515.51,315.629,2072.87,354.726,6.34531e+06,261.163,326.585,300
2014-09-21,268.687,575.257,352.227,2432.13,395.853,6.34482e+06,291.442,290.684,300
2014-09-28,299.822,641.904,393.055,2833.03,441.733,6.34428e+06,325.22,346.116,300
2014-07-13,78.753,171.128,106.541,112.144,115.541,6.34798e+06,80.0423,85.417,350
2014-07-20,89.9404,194.809,117.494,232.279,131.089,6.34782e+06,90.813,108.987,350
2014-07-27,102.055,220.466,132.382,366.58,149.188,6.34763e+06,103.351,127.152,350
2014-08-03,115.527,249.417,149.714,518.275,169.027,6.34742e+06,117.095,113.887,350
