ar,ar_smoothed,eps,index
0.5,0.98,1,1
0.333333,0.9604,1,2
0.25,0.941192,1,3
0.2,0.922368,1,4
0.166667,0.903921,1,5
0.142857,0.885842,1,6
0.125,0.868126,1,7
0.111111,0.850763,1,8
0.1,0.833748,1,9
0.0909091,0.817073,1,10
0.0833333,0.800731,1,11
0.0769231,0.784717,1,12
0.0714286,0.769022,1,13
0.0666667,0.753642,1,14
0.0625,0.738569,1,15
0.0588235,0.723798,1,16
0.0555556,0.709322,1,17
0.0526316,0.695135,1,18
0.05,0.681233,1,19
0.047619,0.667608,1,20
0.0454545,0.654256,0.858608,21
0.0434783,0.641171,0.73704,22
0.0416667,0.628347,0.632648,23
0.04,0.61578,0.54309,24
0.0384615,0.603465,0.466312,25
0.037037,0.591395,0.400519,26
0.0357143,0.579568,0.344154,27
0.0344828,0.567976,0.295873,28
0.0333333,0.556617,0.254512,29
0.0322581,0.545484,0.219076,30
0.03125,0.534575,0.188706,31
0.030303,0.523883,0.162668,32
0.0294118,0.513405,0.140336,33
0.0285714,0.503137,0.12117,34
0.0555556,0.513075,0.104714,35
0.0540541,0.502813,0.0923609,36
0.0526316,0.492757,0.0814824,37
0.0512821,0.482902,0.0719048,38
0.075,0.493244,0.0634738,39
0.0731707,0.483379,0.0570077,40
0.0952381,0.493711,0.0511927,41
0.116279,0.503837,0.0466978,42
0.113636,0.49376,0.043229,43
0.133333,0.503885,0.0399802,44
0.152174,0.513807,0.0374758,45
0.170213,0.523531,0.0355748,46
0.1875,0.533061,0.0341739,47
0.183673,0.522399,0.0331973,48
0.2,0.531951,0.0321819,49
0.215686,0.541312,0.0315201,50
0.211538,0.530486,0.0311728,51
0.226415,0.539876,0.0307562,52
0.240741,0.549079,0.0306182,53
0.236364,0.538097,0.0307396,54
0.25,0.547335,0.0307818,55
0.245614,0.536389,0.0310665,56
0.241379,0.525661,0.0312727,57
0.254237,0.535148,0.0314031,58
0.266667,0.544445,0.0317599,59
0.262295,0.533556,0.0323385,60
0.274194,0.542885,0.0328431,61
0.285714,0.552027,0.033566,62
0.296875,0.560986,0.0345099,63
0.307692,0.569767,0.0356813,64
0.318182,0.578371,0.0370904,65
0.328358,0.586804,0.0387512,66
0.323529,0.575068,0.0406814,67
0.318841,0.563567,0.0425819,68
0.328571,0.572295,0.0444455,69
0.338028,0.580849,0.0465969,70
0.333333,0.569232,0.0490584,71
0.328767,0.557848,0.0515047,72
0.337838,0.566691,0.0539272,73
0.346667,0.575357,0.056684,74
0.355263,0.58385,0.0598024,75
0.350649,0.572173,0.0633143,76
0.346154,0.560729,0.0668503,77
0.341772,0.549515,0.0703993,78
0.35,0.558524,0.0739503,79
0.345679,0.547354,0.0779315,80
0.341463,0.536407,0.0819254,81
0.349398,0.545679,0.0859204,82
0.345238,0.534765,0.0903812,83
0.341176,0.52407,0.0948541,84
0.337209,0.513588,0.0993266,85
0.333333,0.503317,0.103787,86
0.329545,0.49325,0.108223,87
0.337079,0.503385,0.112623,88
0.333333,0.493318,0.11752,89
0.340659,0.503451,0.122391,90
0.336957,0.493382,0.12779,91
0.333333,0.483515,0.133172,92
0.340426,0.493844,0.138524,93
0.336842,0.483967,0.144436,94
0.333333,0.474288,0.150329,95
0.329897,0.464802,0.156187,96
0.326531,0.455506,0.162,97
0.323232,0.446396,0.167755,98
0.32,0.437468,0.173439,99
0.316832,0.428719,0.179043,100
0.313725,0.420144,0.184554,101
0.31068,0.411742,0.189964,102
0.317308,0.423507,0.195262,103
0.314286,0.415037,0.201126,104
0.320755,0.426736,0.206884,105
0.317757,0.418201,0.213227,106
0.314815,0.409837,0.219472,107
0.311927,0.40164,0.225607,108
0.309091,0.393608,0.231624,109
0.315315,0.405735,0.237513,110
0.3125,0.397621,0.243993,111
0.309735,0.389668,0.250352,112
0.307018,0.381875,0.25658,113
0.304348,0.374237,0.262668,114
0.310345,0.386753,0.26861,115
0.307692,0.379018,0.275144,116
0.305085,0.371437,0.281537,117
0.302521,0.364009,0.28778,118
0.3,0.356728,0.293867,119
0.297521,0.349594,0.299791,120
0.295082,0.342602,0.305546,121
0.292683,0.33575,0.311128,122
0.290323,0.329035,0.316532,123
0.288,0.322454,0.321753,124
0.285714,0.316005,0.326789,125
0.283465,0.309685,0.331636,126
0.28125,0.303491,0.336292,127
0.27907,0.297421,0.340755,128
0.276923,0.291473,0.345025,129
0.274809,0.285644,0.349099,130
0.272727,0.279931,0.352977,131
0.270677,0.274332,0.356661,132
0.268657,0.268845,0.360149,133
0.266667,0.263469,0.363443,134
0.272059,0.278199,0.366544,135
0.270073,0.272635,0.370154,136
0.268116,0.267183,0.373573,137
0.266187,0.261839,0.376803,138
0.264286,0.256602,0.379845,139
0.262411,0.25147,0.382701,140
0.260563,0.246441,0.385373,141
0.258741,0.241512,0.387863,142
0.256944,0.236682,0.390173,143
0.255172,0.231948,0.392305,144
0.253425,0.227309,0.394264,145
0.251701,0.222763,0.396051,146
0.25,0.218308,0.397671,147
0.248322,0.213941,0.399126,148
0.246667,0.209663,0.400419,149
0.245033,0.205469,0.401556,150
0.243421,0.20136,0.402538,151
0.24183,0.197333,0.40337,152
0.24026,0.193386,0.404056,153
0.23871,0.189518,0.4046,154
0.237179,0.185728,0.405006,155
