state	C__sierra_leone	R0__sierra_leone	phi__sierra_leone	rho__sierra_leone
0	106.558	1.2878	0.227277	0.557998
1	103.516	1.28845	0.227331	0.558794
2	110.069	1.28027	0.22801	0.556043
3	115.069	1.28244	0.227325	0.548738
4	100.192	1.29739	0.227991	0.544675
5	98.6293	1.30336	0.228669	0.541619
6	105.288	1.28686	0.224219	0.534093
7	120.411	1.28125	0.229844	0.518584
8	104.672	1.27299	0.231288	0.528498
9	85.1268	1.32694	0.237237	0.536892
10	94.972	1.40249	0.248096	0.556251
11	75.8106	1.40316	0.244362	0.59345
12	75.8106	1.40316	0.244362	0.59345
13	75.8106	1.40316	0.244362	0.59345
14	75.8106	1.40316	0.244362	0.59345
15	72.6269	1.43217	0.233848	0.594085
16	72.6269	1.43217	0.233848	0.594085
17	72.6269	1.43217	0.233848	0.594085
18	97.5577	1.36202	0.224473	0.591448
19	97.5577	1.36202	0.224473	0.591448
20	97.5577	1.36202	0.224473	0.591448
21	97.5577	1.36202	0.224473	0.591448
22	97.5577	1.36202	0.224473	0.591448
23	82.0885	1.37992	0.211599	0.633351
24	67.2894	1.41872	0.209197	0.651018
25	66.2763	1.41053	0.214622	0.658423
26	67.8384	1.34857	0.220325	0.699501
27	67.8384	1.34857	0.220325	0.699501
28	67.8384	1.34857	0.220325	0.699501
29	82.2997	1.29371	0.22221	0.689717
30	82.2997	1.29371	0.22221	0.689717
31	82.2997	1.29371	0.22221	0.689717
32	82.2997	1.29371	0.22221	0.689717
33	89.644	1.27801	0.218429	0.701515
34	89.644	1.27801	0.218429	0.701515
35	89.644	1.27801	0.218429	0.701515
36	75.8536	1.31204	0.22673	0.722376
37	75.8536	1.31204	0.22673	0.722376
38	70.3386	1.37197	0.23178	0.742883
39	72.3961	1.3268	0.231815	0.732117
40	72.3961	1.3268	0.231815	0.732117
41	81.2396	1.29271	0.228287	0.736237
42	81.2396	1.29271	0.228287	0.736237
43	82.0062	1.30606	0.222943	0.719936
44	82.0062	1.30606	0.222943	0.719936
45	82.0062	1.30606	0.222943	0.719936
46	71.8238	1.35122	0.215058	0.710419
47	71.4068	1.33186	0.212705	0.692759
48	71.4068	1.33186	0.212705	0.692759
49	71.4068	1.33186	0.212705	0.692759
50	71.4068	1.33186	0.212705	0.692759
51	67.8946	1.41215	0.213254	0.688642
52	67.8946	1.41215	0.213254	0.688642
53	67.8946	1.41215	0.213254	0.688642
54	67.8946	1.41215	0.213254	0.688642
55	87.7769	1.32927	0.216412	0.68251
56	75.205	1.31571	0.215799	0.688579
57	75.205	1.31571	0.215799	0.688579
58	72.9064	1.36565	0.218927	0.702948
59	72.9064	1.36565	0.218927	0.702948
60	75.4058	1.35081	0.214862	0.700368
61	75.4058	1.35081	0.214862	0.700368
62	77.627	1.31463	0.21847	0.692772
63	77.627	1.31463	0.21847	0.692772
64	74.9887	1.34268	0.22444	0.693305
65	75.552	1.29978	0.222481	0.707573
66	60.7982	1.41284	0.222282	0.72206
67	61.8528	1.35426	0.226986	0.711879
68	67.6453	1.34094	0.223376	0.711225
69	77.4494	1.30813	0.224796	0.714415
70	71.8639	1.31128	0.218204	0.714982
71	71.8639	1.31128	0.218204	0.714982
72	85.524	1.29022	0.211793	0.701522
73	85.524	1.29022	0.211793	0.701522
74	85.524	1.29022	0.211793	0.701522
75	85.524	1.29022	0.211793	0.701522
76	60.1791	1.36915	0.214133	0.692643
77	62.2417	1.36889	0.215266	0.698724
78	62.2417	1.36889	0.215266	0.698724
79	70.3429	1.39197	0.22201	0.71963
80	62.9859	1.43284	0.223147	0.721038
81	54.0602	1.4459	0.22388	0.718903
82	63.6415	1.48548	0.223216	0.708586
83	51.4069	1.48276	0.222872	0.710403
84	55.2976	1.42563	0.221251	0.711112
85	69.0228	1.42638	0.218921	0.702732
86	71.8964	1.33454	0.230536	0.709521
87	71.8964	1.33454	0.230536	0.709521
88	73.7801	1.31875	0.23467	0.701279
89	80.0185	1.30753	0.231745	0.702599
90	75.75	1.34931	0.23727	0.70499
91	64.4852	1.37458	0.236184	0.704982
92	64.4852	1.37458	0.236184	0.704982
93	64.4852	1.37458	0.236184	0.704982
94	64.4852	1.37458	0.236184	0.704982
95	71.6776	1.37191	0.239357	0.701723
96	76.2828	1.34627	0.237718	0.684474
97	76.2828	1.34627	0.237718	0.684474
98	80.6562	1.37958	0.235974	0.693668
99	80.6562	1.37958	0.235974	0.693668
100	67.8185	1.37396	0.240049	0.707099
101	67.8185	1.37396	0.240049	0.707099
102	77.2886	1.38564	0.239872	0.694948
103	76.6204	1.36979	0.237695	0.709692
104	86.1498	1.33445	0.239753	0.700497
105	71.8882	1.3756	0.243713	0.679469
106	71.8882	1.3756	0.243713	0.679469
107	71.8882	1.3756	0.243713	0.679469
108	71.8882	1.3756	0.243713	0.679469
109	72.1191	1.3926	0.244958	0.688187
110	73.4572	1.30204	0.244935	0.673307
111	84.5281	1.26395	0.245263	0.683815
112	95.0644	1.24383	0.248106	0.681506
113	95.0644	1.24383	0.248106	0.681506
114	82.6107	1.29786	0.249104	0.679958
115	92.3347	1.25436	0.245249	0.675993
116	80.2637	1.30036	0.248669	0.685638
117	80.2637	1.30036	0.248669	0.685638
118	80.2637	1.30036	0.248669	0.685638
119	82.3893	1.28817	0.245089	0.704091
120	82.3893	1.28817	0.245089	0.704091
121	82.3893	1.28817	0.245089	0.704091
122	82.3893	1.28817	0.245089	0.704091
123	82.3893	1.28817	0.245089	0.704091
124	82.3893	1.28817	0.245089	0.704091
125	63.7272	1.36039	0.240422	0.716331
126	63.7272	1.36039	0.240422	0.716331
127	63.7272	1.36039	0.240422	0.716331
128	70.0864	1.38371	0.237781	0.716808
129	62.2603	1.43525	0.242957	0.713068
130	62.6297	1.37383	0.24227	0.714114
131	78.1186	1.35876	0.24516	0.710811
132	76.8937	1.36737	0.2459	0.714103
133	68.7199	1.36406	0.248413	0.715202
134	68.7199	1.36406	0.248413	0.715202
135	77.0963	1.3292	0.248011	0.71001
136	77.0963	1.3292	0.248011	0.71001
137	73.009	1.35078	0.250232	0.698637
138	73.009	1.35078	0.250232	0.698637
139	73.3028	1.36599	0.24544	0.681939
140	73.3028	1.36599	0.24544	0.681939
141	73.3028	1.36599	0.24544	0.681939
142	73.3028	1.36599	0.24544	0.681939
143	73.3028	1.36599	0.24544	0.681939
144	73.3028	1.36599	0.24544	0.681939
145	94.1847	1.26061	0.239012	0.690486
146	100.156	1.24661	0.235638	0.68711
147	102.979	1.24603	0.234578	0.693433
148	108.73	1.22671	0.237225	0.674229
149	89.9087	1.28432	0.234317	0.676562
150	89.9087	1.28432	0.234317	0.676562
151	76.3113	1.3187	0.236026	0.67693
152	76.3113	1.3187	0.236026	0.67693
153	76.3113	1.3187	0.236026	0.67693
154	76.3113	1.3187	0.236026	0.67693
155	72.7679	1.35552	0.237954	0.674976
156	72.7679	1.35552	0.237954	0.674976
157	61.498	1.43975	0.245774	0.683651
158	58.5206	1.41634	0.244672	0.693191
159	58.5206	1.41634	0.244672	0.693191
160	69.9018	1.31112	0.244319	0.681352
161	88.8384	1.28258	0.242815	0.676065
162	92.2654	1.25947	0.246391	0.661544
163	92.2654	1.25947	0.246391	0.661544
164	95.1758	1.22948	0.242839	0.676114
165	80.3088	1.30665	0.23807	0.666599
166	80.3088	1.30665	0.23807	0.666599
167	80.3088	1.30665	0.23807	0.666599
168	76.0197	1.35727	0.233643	0.66452
169	70.2946	1.36965	0.233023	0.662319
170	70.2946	1.36965	0.233023	0.662319
171	70.2946	1.36965	0.233023	0.662319
172	70.2946	1.36965	0.233023	0.662319
173	68.8663	1.38776	0.230645	0.659237
174	68.8663	1.38776	0.230645	0.659237
175	68.8663	1.38776	0.230645	0.659237
176	66.6867	1.41752	0.228718	0.659449
177	66.6867	1.41752	0.228718	0.659449
178	71.0295	1.40333	0.224369	0.659019
179	84.495	1.3894	0.229024	0.628292
180	83.4362	1.34163	0.231728	0.619373
181	83.4362	1.34163	0.231728	0.619373
182	75.6803	1.34228	0.229656	0.60559
183	75.6803	1.34228	0.229656	0.60559
184	68.2564	1.45975	0.231895	0.610333
185	69.0146	1.43665	0.234992	0.614713
186	69.0146	1.43665	0.234992	0.614713
187	69.0146	1.43665	0.234992	0.614713
188	69.0146	1.43665	0.234992	0.614713
189	68.5621	1.42147	0.234659	0.611141
190	77.8833	1.37139	0.235654	0.584094
191	76.3408	1.41912	0.23555	0.578914
192	80.4353	1.41621	0.233839	0.575607
193	95.88	1.31781	0.224773	0.592511
194	95.883	1.29143	0.227595	0.608034
195	87.3923	1.32101	0.228482	0.588614
196	87.3923	1.32101	0.228482	0.588614
197	87.3923	1.32101	0.228482	0.588614
198	89.9559	1.32433	0.231942	0.577281
199	89.9559	1.32433	0.231942	0.577281
200	89.9559	1.32433	0.231942	0.577281
201	83.3523	1.34562	0.23052	0.58939
202	90.2749	1.34392	0.229488	0.582878
203	89.7071	1.31777	0.22135	0.563963
204	95.1727	1.27953	0.218229	0.573213
205	94.4193	1.30568	0.217457	0.578753
206	103.115	1.30626	0.216484	0.554897
207	100.375	1.32722	0.217727	0.533814
208	100.109	1.3264	0.223127	0.517782
209	92.3107	1.37751	0.217598	0.507058
210	98.7395	1.34238	0.220792	0.491677
211	103.209	1.36118	0.218995	0.483406
212	111.292	1.33032	0.219548	0.495919
213	105.831	1.38464	0.214165	0.476566
214	105.831	1.38464	0.214165	0.476566
215	94.6473	1.37788	0.209335	0.497149
216	107.498	1.34044	0.212845	0.499121
217	103.54	1.36253	0.214999	0.49396
218	121.353	1.3118	0.216906	0.474853
219	121.353	1.3118	0.216906	0.474853
220	121.353	1.3118	0.216906	0.474853
221	109.189	1.41664	0.212452	0.47854
222	109.238	1.34838	0.20923	0.457542
223	109.238	1.34838	0.20923	0.457542
224	105.608	1.35806	0.209591	0.484115
225	105.608	1.35806	0.209591	0.484115
226	85.3883	1.38758	0.206255	0.50521
227	81.4507	1.42767	0.204584	0.515992
228	77.7325	1.41663	0.206167	0.54414
229	77.7325	1.41663	0.206167	0.54414
230	77.7325	1.41663	0.206167	0.54414
231	77.7325	1.41663	0.206167	0.54414
232	77.7325	1.41663	0.206167	0.54414
233	77.7325	1.41663	0.206167	0.54414
234	116.761	1.31741	0.206144	0.53311
235	116.761	1.31741	0.206144	0.53311
236	116.761	1.31741	0.206144	0.53311
237	114.436	1.3021	0.205473	0.537693
238	114.436	1.3021	0.205473	0.537693
239	114.436	1.3021	0.205473	0.537693
240	90.4296	1.33477	0.217396	0.54484
241	90.4296	1.33477	0.217396	0.54484
